"","Fecha","Numero_de_Semana","Mes","Ano","Campaña","Grano","Sector","Total_Comprado","Total_a_Fijar","Total_Fijado","DJVE_Acumuladas","Total_sin_Precio","Total_con_Precio","Ano_Campaña","Ano_Mes","id"
"1",2008-12-31,53,12,2008,"08/09","Trigo","Sector Industrial",1109,638.1,129.8,NA,508.3,600.7,2009,200812,53
"2",2008-12-31,53,12,2008,"07/08","Trigo","Sector Industrial",6446.4,1824.6,1791.8,NA,32.8,6413.6,2008,200812,105
"3",2008-12-31,53,12,2008,"08/09","Soja","Sector Industrial",2075.8,1784.2,6.7,NA,1777.5,298.3,2009,200812,53
"4",2008-12-31,53,12,2008,"07/08","Soja","Sector Industrial",25821.9,10773.5,9221.9,NA,1551.6,24270.3,2008,200812,105
"5",2008-12-31,53,12,2008,"08/09","Girasol","Sector Industrial",326.6,232.2,2,NA,230.2,96.4,2009,200812,53
"6",2008-12-31,53,12,2008,"07/08","Girasol","Sector Industrial",4464.9,1469.2,969.8,NA,499.4,3965.5,2008,200812,105
"7",2009-01-07,2,1,2009,"08/09","Trigo","Sector Exportador",3751.5,591.1,195.8,NA,395.3,3356.2,2009,20091,54
"8",2009-01-07,2,1,2009,"07/08","Trigo","Sector Exportador",11977.7,1053.9,612.5,NA,441.4,11536.3,2008,20091,106
"9",2009-01-07,2,1,2009,"08/09","Maíz","Sector Exportador",942.6,363.4,53.1,NA,310.3,632.3,2009,20091,54
"10",2009-01-07,2,1,2009,"07/08","Maíz","Sector Exportador",16379.9,3836.9,2985.2,NA,851.7,15528.2,2008,20091,106
"11",2009-01-07,2,1,2009,"08/09","Sorgo","Sector Exportador",13.8,0.5,0,NA,0.5,13.3,2009,20091,54
"12",2009-01-07,2,1,2009,"07/08","Sorgo","Sector Exportador",1312.1,117.8,61.7,NA,56.1,1256,2008,20091,106
"13",2009-01-07,2,1,2009,"08/09","Cebada Cervecera","Sector Exportador",749.6,437.9,131.3,NA,306.6,443,2009,20091,54
"14",2009-01-07,2,1,2009,"07/08","Cebada Cervecera","Sector Exportador",990.6,413.5,246.2,NA,167.3,823.3,2008,20091,106
"15",2009-01-07,2,1,2009,"08/09","Soja","Sector Exportador",1690.7,1478.8,34.4,NA,1444.4,246.3,2009,20091,54
"16",2009-01-07,2,1,2009,"07/08","Soja","Sector Exportador",16764.4,5245.6,3963.8,NA,1281.8,15482.6,2008,20091,106
"17",2009-01-07,2,1,2009,"08/09","Girasol","Sector Exportador",1.1,0,0,NA,0,1.1,2009,20091,54
"18",2009-01-07,2,1,2009,"07/08","Girasol","Sector Exportador",311.2,155.5,64.9,NA,90.6,220.6,2008,20091,106
"19",2009-01-07,2,1,2009,"08/09","Trigo","Sector Industrial",1204.7,664.9,145.7,NA,519.2,685.5,2009,20091,54
"20",2009-01-07,2,1,2009,"07/08","Trigo","Sector Industrial",6458.9,1828,1801.6,NA,26.4000000000001,6432.5,2008,20091,106
"21",2009-01-07,2,1,2009,"08/09","Soja","Sector Industrial",2310.5,1940.8,50.8,NA,1890,420.5,2009,20091,54
"22",2009-01-07,2,1,2009,"07/08","Soja","Sector Industrial",26095.7,10869.3,9398.3,NA,1471,24624.7,2008,20091,106
"23",2009-01-07,2,1,2009,"08/09","Girasol","Sector Industrial",363.6,261.9,6.9,NA,255,108.6,2009,20091,54
"24",2009-01-07,2,1,2009,"07/08","Girasol","Sector Industrial",4472.4,1471.5,989.4,NA,482.1,3990.3,2008,20091,106
"25",2009-01-14,3,1,2009,"08/09","Trigo","Sector Exportador",3963.7,644.5,201.3,NA,443.2,3520.5,2009,20091,55
"26",2009-01-14,3,1,2009,"07/08","Trigo","Sector Exportador",11979.7,1054.2,612.5,NA,441.7,11538,2008,20091,107
"27",2009-01-14,3,1,2009,"08/09","Maíz","Sector Exportador",1061,383.1,55.3,NA,327.8,733.2,2009,20091,55
"28",2009-01-14,3,1,2009,"07/08","Maíz","Sector Exportador",16514.3,3842.4,3020.1,NA,822.3,15692,2008,20091,107
"29",2009-01-14,3,1,2009,"08/09","Sorgo","Sector Exportador",17,0.5,0,NA,0.5,16.5,2009,20091,55
"30",2009-01-14,3,1,2009,"07/08","Sorgo","Sector Exportador",1332.7,117.8,63.6,NA,54.2,1278.5,2008,20091,107
"31",2009-01-14,3,1,2009,"08/09","Cebada Cervecera","Sector Exportador",871.8,452.7,174.6,NA,278.1,593.7,2009,20091,55
"32",2009-01-14,3,1,2009,"07/08","Cebada Cervecera","Sector Exportador",990.6,413.5,246.2,NA,167.3,823.3,2008,20091,107
"33",2009-01-14,3,1,2009,"08/09","Soja","Sector Exportador",1789.8,1514.7,40.8,NA,1473.9,315.9,2009,20091,55
"34",2009-01-14,3,1,2009,"07/08","Soja","Sector Exportador",16764.4,5284.8,4016.3,NA,1268.5,15495.9,2008,20091,107
"35",2009-01-14,3,1,2009,"08/09","Girasol","Sector Exportador",1.1,0,0,NA,0,1.1,2009,20091,55
"36",2009-01-14,3,1,2009,"07/08","Girasol","Sector Exportador",311.2,155.5,65.1,NA,90.4,220.8,2008,20091,107
"37",2009-01-14,3,1,2009,"08/09","Trigo","Sector Industrial",1315.2,691.5,171.9,NA,519.6,795.6,2009,20091,55
"38",2009-01-14,3,1,2009,"07/08","Trigo","Sector Industrial",6467.1,1830.6,1808.3,NA,22.3,6444.8,2008,20091,107
"39",2009-01-14,3,1,2009,"08/09","Soja","Sector Industrial",2481,2050.7,122.7,NA,1928,553,2009,20091,55
"40",2009-01-14,3,1,2009,"07/08","Soja","Sector Industrial",26468.1,10953.5,9527.8,NA,1425.7,25042.4,2008,20091,107
"41",2009-01-14,3,1,2009,"08/09","Girasol","Sector Industrial",404.6,294,12.6,NA,281.4,123.2,2009,20091,55
"42",2009-01-14,3,1,2009,"07/08","Girasol","Sector Industrial",4481.7,1472.9,1007.8,NA,465.1,4016.6,2008,20091,107
"43",2009-01-21,4,1,2009,"08/09","Trigo","Sector Exportador",4252.7,651.1,229.6,NA,421.5,3831.2,2009,20091,56
"44",2009-01-21,4,1,2009,"07/08","Trigo","Sector Exportador",11983.9,1054.3,612.5,NA,441.8,11542.1,2008,20091,108
"45",2009-01-21,4,1,2009,"08/09","Maíz","Sector Exportador",1196.2,395.8,55.6,NA,340.2,856,2009,20091,56
"46",2009-01-21,4,1,2009,"07/08","Maíz","Sector Exportador",16624.2,3843.2,3029.5,NA,813.7,15810.5,2008,20091,108
"47",2009-01-21,4,1,2009,"08/09","Sorgo","Sector Exportador",17.1,0.5,0,NA,0.5,16.6,2009,20091,56
"48",2009-01-21,4,1,2009,"07/08","Sorgo","Sector Exportador",1348.6,117.8,63.6,NA,54.2,1294.4,2008,20091,108
"49",2009-01-21,4,1,2009,"08/09","Cebada Cervecera","Sector Exportador",884.7,462.3,203,NA,259.3,625.4,2009,20091,56
"50",2009-01-21,4,1,2009,"07/08","Cebada Cervecera","Sector Exportador",990.6,413.5,246.2,NA,167.3,823.3,2008,20091,108
"51",2009-01-21,4,1,2009,"08/09","Soja","Sector Exportador",2041.5,1715.1,60.7,NA,1654.4,387.1,2009,20091,56
"52",2009-01-21,4,1,2009,"07/08","Soja","Sector Exportador",16782,5307.5,4107.4,NA,1200.1,15581.9,2008,20091,108
"53",2009-01-21,4,1,2009,"08/09","Girasol","Sector Exportador",1.4,0.2,0,NA,0.2,1.2,2009,20091,56
"54",2009-01-21,4,1,2009,"07/08","Girasol","Sector Exportador",311.6,155.6,65.4,NA,90.2,221.4,2008,20091,108
"55",2009-01-21,4,1,2009,"08/09","Trigo","Sector Industrial",1435.2,726.1,195.5,NA,530.6,904.6,2009,20091,56
"56",2009-01-21,4,1,2009,"07/08","Trigo","Sector Industrial",6476.8,1833.6,1819.6,NA,14,6462.8,2008,20091,108
